store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
8139926242460185114,0,0,77,0,9.0,0
5415949628544298339,0,0,77,0,9.0,0
3408529570017053440,0,0,0,0,24,168
9055649751952768824,0,0,0,0,2.0,35.0
4428372089193592098,0,0,0,0,24,168
2689959411535120475,0,0,65,0,10.0,5.0
8297996490922435741,0,0,0,0,10.333333333333334,70.0
1050565545391667097,0,0,71,0,2.0,0
3483930781272060942,0,0,0,0,12.0,84.0
1740222068509982431,0,0,0,0,11.5,77.0
2859012985063828777,0,0,72,0,5.983333333333333,1.0
3828361964081888905,0,0,0,0,9.5,77.0
5789640881970906690,0,0,33,0,5.0,2.0
5723059602183693938,0,0,94,0,2.0,0
4378293333107164443,0,0,0,0,23.983333333333334,161.0
8778651700128892847,0,0,11,0,7.0,53.0
6666934422919388376,0,0,74,0,24,94
6163165919739157695,0,0,0,0,24,168
2190599106298424769,0,0,74,0,5.0,0
2225219938220197351,0,0,72,0,11.5,5.0
5925159570709352168,0,0,78,0,10.0,0
8175229951397380687,0,0,74,0,24,94
4292660491880158081,0,0,53,0,10.0,17.0
6733800122189753654,0,0,0,0,24,168
7463734423358941330,0,0,0,0,24,145.0
7622852966095963272,0,0,71,0,7.5,0
6160914795278193489,0,0,72,0,11.5,5.0
338646328301262317,0,0,0,0,11.0,77.0
8640972490360190883,0,0,74,0,24,94
9058019541301770690,0,0,0,0,10.0,70.0
4381311595575895588,0,0,72,0,10.75,0
2248905253110987612,0,0,58,0,11.0,19.0
7968584600264951543,0,0,71,0,5.0,0
1655838063357762151,0,0,0,0,7.5,64.0
2118894053982561987,0,0,0,0,24,168
8471700099357897929,0,0,93,0,2.0,0
8372524645314576802,0,0,0,0,23.983333333333334,161.0
5552924050444994427,0,0,9,0,1.0,136.0
6921452823375303736,0,0,43,0,11.0,34.0
4529169694434968721,0,0,56,0,9.5,9.0
2787020355835455025,0,0,93,0,2.0,0
8971475435584615792,0,0,76,0,2.0,0
1236888576653956449,0,0,85,0,11.0,0
2739250325777580694,0,0,9,0,1.0,136.0
3114628966267234599,0,0,0,0,23.983333333333334,161.0
2958221658060682960,0,0,75,0,2.0,0
7972619999376644068,0,0,0,0,24,168
7786277334741505527,0,0,0,0,24,168
7263129728113095915,0,0,37,0,11.0,40.0
1501752248305324318,0,0,0,0,4.983333333333333,40.0
7959626024093666288,0,0,0,0,10.0,70.0
5670977555241596822,0,0,63,0,9.5,2.0
1801116365065971671,0,0,29,0,24,139
5938218521494275420,0,0,72,0,11.5,5.0
7506757311218522218,0,0,0,0,24,168
7902319769656483014,0,0,0,0,12.0,84.0
5365891606775901565,0,0,0,0,24,168
7731628114272740713,0,0,0,0,10.0,70.0
2870952845845047203,0,0,0,0,24,168
4684120169809436364,0,0,65,0,5.983333333333333,8.0
8910898981588710522,0,0,0,0,24,168
8523889910428063033,0,0,72,0,2.0,0
8750493480383302874,0,0,58,0,24,110
8783340632782870568,0,0,0,0,24,168
3547443835360588068,0,0,11,0,1.0,134.0
8959583929144879812,0,0,0,0,24,168
2974109706633403181,0,0,0,0,2.0,35.0
9200325206334396031,0,0,31,0,7.0,33.0
7665740608437227886,0,0,73,0,24,95
